407,137,601,138,601,170,406,169
401,193,661,188,662,217,401,222
598,457,753,455,754,480,598,482
471,372,610,374,609,402,470,401
252,281,359,283,359,308,251,305
543,417,648,420,647,446,542,443
367,93,474,93,474,118,367,117
475,454,583,458,582,484,475,480
629,374,755,372,755,405,629,407
248,325,335,326,335,352,248,351
413,52,489,53,489,75,412,73
287,94,362,93,362,118,288,120
676,88,735,86,736,115,677,117
270,24,342,23,343,45,271,47
546,22,629,23,629,47,546,46
536,52,599,50,600,70,536,72
296,414,364,413,364,436,296,437
346,325,448,334,446,360,344,351
571,284,633,285,633,310,571,309
603,54,656,53,656,70,603,71
482,285,557,283,558,308,482,309
690,26,740,25,740,45,690,46
372,414,447,414,447,438,373,439
658,418,716,417,716,439,658,440
327,136,369,133,371,160,329,163
443,26,487,25,487,45,443,46
249,414,288,414,288,436,250,437
356,52,401,51,401,72,356,72
631,23,687,23,687,46,631,47
250,194,281,194,281,217,250,218
289,197,325,197,324,217,288,216
347,23,405,22,405,47,348,48
115,132,156,131,157,148,116,150
403,25,439,24,439,45,403,45
454,414,495,414,495,435,454,435
490,23,553,22,553,45,490,46
